,services
134,"[{'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
135,[]
136,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
137,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4950, 'cost_per_unit': 5500, 'discount': 10, 'first_cost': 5500, 'amount': 1}]"
138,[]
139,"[{'id': 10922874, 'title': 'Ручной лифтинг лица/90 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
140,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 0, 'first_cost': 0, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 3000, 'cost_to_pay': 3000, 'manual_cost': 3000, 'cost_per_unit': 3000, 'discount': 0, 'first_cost': 3000, 'amount': 1}]"
141,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
142,[]
143,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
144,[]
145,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
146,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
147,"[{'id': 10922874, 'title': 'Ручной лифтинг лица/90 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
148,[]
149,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
150,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
151,"[{'id': 10863866, 'title': 'Услуга', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 0, 'first_cost': 0, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 3000, 'cost_to_pay': 3000, 'manual_cost': 3000, 'cost_per_unit': 3000, 'discount': 0, 'first_cost': 3000, 'amount': 1}]"
152,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
153,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
154,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
155,[]
156,[]
157,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
158,[]
159,[]
160,"[{'id': 10922915, 'title': 'штраф 500 р', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 500, 'discount': 0, 'first_cost': 0, 'amount': 0}]"
161,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
162,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
163,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
164,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
165,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}]"
166,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
167,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
168,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
169,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
170,"[{'id': 10922876, 'title': 'Чёткий контур + Буккальная техника/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
171,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
